time,ax,ay,az,atotal
0.003251791000366211,0.17,0.07,-0.19,0.26
0.011952877044677734,0.19,-0.02,-0.07,0.2
0.024663925170898438,0.12,-0.11,0.07,0.17
0.03104400634765625,0.1,-0.09,0.06,0.14
0.04274272918701172,0.11,0.08,0.05,0.14
0.0518038272857666,0.12,0.25,0.07,0.28
0.06136798858642578,0.11,0.24,0.01,0.26
0.07451081275939941,0.12,0.11,-0.23,0.28
0.08081889152526855,0.17,-0.07,-0.35,0.39
0.0922389030456543,0.15,-0.07,-0.36,0.39
0.10172080993652344,0.12,0.08,-0.22,0.26
0.11150979995727539,0.11,0.2,0.06,0.23
0.12446379661560059,0.05,0.2,0.02,0.2
0.13073301315307617,0.1,0.15,-0.25,0.3
0.14241290092468262,0.13,0.12,-0.22,0.28
0.15146279335021973,0.11,0.09,-0.17,0.22
0.1607828140258789,0.1,-0.01,0.04,0.1
0.17466402053833008,0.09,-0.13,0.09,0.18
0.1803128719329834,0.11,-0.14,-0.12,0.21
0.19168996810913086,0.11,0.0,-0.1,0.14
0.20098400115966797,0.13,0.16,-0.18,0.27
0.2108898162841797,0.15,0.2,-0.16,0.29
0.22434782981872559,0.16,0.11,-0.09,0.21
0.22990083694458008,0.17,0.01,-0.1,0.19
0.24186182022094727,0.14,-0.05,0.04,0.15
0.25061988830566406,0.16,-0.01,0.04,0.16
0.26027679443359375,0.15,0.09,0.0,0.17
0.27423882484436035,0.13,0.12,0.02,0.17
0.27977681159973145,0.06,0.07,-0.18,0.2
0.29138779640197754,0.03,0.12,-0.22,0.25
0.30067968368530273,0.13,0.17,-0.16,0.26
0.31027984619140625,0.11,0.11,-0.14,0.2
0.32416486740112305,0.12,0.03,-0.09,0.15
0.32955479621887207,0.18,-0.01,-0.02,0.18
0.3412477970123291,0.19,-0.02,0.1,0.21
0.350003719329834,0.14,0.0,0.08,0.16
0.35979795455932617,0.12,0.07,-0.08,0.16
0.3736288547515869,0.12,0.18,-0.3,0.36
0.379091739654541,0.12,0.19,-0.31,0.38
0.39082884788513184,0.11,0.07,-0.22,0.25
0.3997538089752197,0.07,-0.02,-0.21,0.22
0.40958070755004883,0.07,0.0,-0.15,0.16
0.4234137535095215,0.1,0.0,-0.07,0.12
0.4287748336791992,0.12,0.07,-0.05,0.14
0.4407167434692383,0.16,0.14,-0.1,0.23
0.44925379753112793,0.16,0.11,-0.05,0.2
0.45900583267211914,0.16,0.07,-0.17,0.24
0.4732999801635742,0.14,0.03,-0.19,0.23
0.47858381271362305,0.1,0.03,-0.02,0.1
0.49019289016723633,0.1,0.09,0.08,0.15
0.49950170516967773,0.11,0.15,0.03,0.18
0.509462833404541,0.12,0.17,-0.03,0.21
0.522911787033081,0.12,0.09,-0.22,0.26
0.5288028717041016,0.08,0.02,-0.26,0.27
0.5403199195861816,0.06,-0.03,-0.18,0.19
0.5490217208862305,0.09,-0.04,-0.15,0.17
0.5587167739868164,0.12,0.06,-0.02,0.13
0.5730528831481934,0.09,0.13,0.06,0.16
0.5781197547912598,0.09,0.14,0.05,0.17
0.5897388458251953,0.12,0.14,0.01,0.18
0.5987958908081055,0.18,0.08,-0.02,0.19
0.6088447570800781,0.22,-0.01,-0.08,0.23
0.6224417686462402,0.19,-0.01,-0.06,0.19
0.6280217170715332,0.15,0.01,-0.09,0.17
0.6395449638366699,0.1,0.06,-0.19,0.22
0.6482198238372803,0.1,0.08,-0.13,0.18
0.6581888198852539,0.11,0.02,-0.06,0.12
0.672544002532959,0.15,0.03,0.04,0.15
0.6774897575378418,0.15,0.08,0.01,0.17
0.6892437934875488,0.13,0.12,-0.07,0.19
0.698084831237793,0.12,0.15,-0.22,0.29
0.708183765411377,0.07,0.16,-0.26,0.31
0.722160816192627,0.05,0.06,-0.25,0.26
0.7274057865142822,0.13,0.0,-0.19,0.23
0.739067792892456,0.17,-0.06,-0.14,0.22
0.7479667663574219,0.1,-0.07,-0.03,0.12
0.7577319145202637,0.06,0.0,0.02,0.06
0.7718198299407959,0.15,0.13,0.02,0.19
0.7771859169006348,0.2,0.18,0.0,0.26
0.7887978553771973,0.17,0.23,-0.07,0.29
0.7976479530334473,0.13,0.17,-0.16,0.26
0.8077478408813477,0.04,0.11,-0.13,0.17
0.8215148448944092,0.04,0.03,-0.09,0.1
0.8266959190368652,0.04,-0.02,-0.15,0.15
