time,ax,ay,az,atotal
0.0050771236419677734,-0.01,0.04,-0.26,0.32
0.008584022521972656,-0.2,0.01,-0.31,0.35
0.019484996795654297,0.06,-0.04,-0.23,0.24
0.03123617172241211,-0.75,0.03,-0.01,0.1
0.03894209861755371,-0.73,0.18,0.23,0.41
0.04877519607543945,-0.08,0.09,0.11,0.24
0.058331966400146484,0.24,-0.01,0.01,0.07
0.06800508499145508,0.25,0.06,-0.14,0.15
0.07953715324401855,-0.04,0.05,-0.19,0.21
0.08862495422363281,-0.15,0.07,0.01,0.07
0.09825706481933594,0.32,0.16,0.38,0.41
0.10879802703857422,0.46,0.02,0.32,0.39
0.1288890838623047,0.03,0.15,0.03,0.34
0.1323680877685547,-0.18,0.71,0.04,0.74
0.1378159523010254,-0.14,1.12,0.34,1.17
0.14728713035583496,-0.07,1.86,1.17,2.28
0.15761327743530273,-0.04,2.66,2.61,3.95
0.1739201545715332,-0.04,3.21,4.01,5.37
0.17656207084655762,-0.14,4.64,5.92,7.98
0.18723106384277344,-0.2,5.66,7.42,10.24
0.19707918167114258,-0.29,7.24,8.04,12.44
0.2071220874786377,-0.28,10.84,9.61,16.96
0.22352313995361328,-0.14,12.38,8.69,18.6
0.22780227661132812,0.06,10.61,6.76,16.36
0.23617315292358398,0.19,10.93,9.09,17.34
0.24716520309448242,0.15,9.23,5.05,13.58
0.2566971778869629,0.08,8.3,2.86,12.35
0.27368712425231934,0.09,6.95,5.99,11.88
0.27597713470458984,0.03,5.07,6.45,9.79
0.2867431640625,-0.05,3.45,4.14,7.55
0.296342134475708,0.02,1.94,4.62,8.73
0.30631017684936523,0.05,-0.23,6.89,10.68
0.3163480758666992,0.07,-2.87,5.63,10.0
0.32703495025634766,0.04,-5.53,2.28,8.63
0.33598804473876953,-0.04,-7.83,0.44,8.7
0.34644222259521484,-0.07,-9.19,0.61,9.32
0.35685110092163086,0.01,-11.53,1.01,11.59
0.3665642738342285,0.0,-16.41,3.16,17.01
0.3755660057067871,-0.13,-22.48,5.33,24.08
0.3854331970214844,-0.04,-30.15,5.24,32.98
0.3961319923400879,0.04,-36.51,3.5,41.92
0.4059281349182129,-0.09,-38.92,1.78,45.98
0.4158940315246582,-0.11,-36.87,0.1,42.31
0.4263639450073242,0.0,-32.54,-1.44,36.01
0.43512725830078125,-0.03,-28.37,-0.06,29.92
0.4453291893005371,0.02,-25.49,-1.82,25.94
0.45506715774536133,0.1,-18.71,-7.64,20.29
0.46568822860717773,0.06,-13.08,-8.2,15.44
0.4747791290283203,0.03,-10.17,-8.41,13.55
0.48607921600341797,-0.01,-9.19,-9.97,13.93
0.49521613121032715,-0.04,-9.63,-14.81,17.76
0.5055301189422607,-0.01,-9.07,-12.3,15.34
0.5152959823608398,0.02,-4.26,1.65,8.65
0.5258071422576904,0.01,6.18,11.78,24.38
0.535067081451416,0.08,20.24,11.67,40.59
0.544572114944458,0.06,31.68,4.62,52.44
0.5551681518554688,-0.04,39.44,0.93,59.73
0.5645661354064941,-0.07,43.18,-0.75,60.89
0.5743222236633301,-0.07,41.33,0.45,56.1
0.584996223449707,0.01,38.8,3.71,52.66
0.5942361354827881,0.01,33.02,3.37,46.04
0.6048212051391602,0.0,22.19,6.23,33.26
0.6145710945129395,-0.01,9.77,14.79,24.76
0.6254429817199707,-0.01,-1.92,20.95,24.4
0.6345970630645752,-0.01,-11.95,25.02,28.61
0.6438350677490234,0.04,-21.82,22.5,31.34
0.6546361446380615,0.04,-31.66,16.27,36.7
0.6642551422119141,-0.03,-42.13,11.94,48.55
0.6737241744995117,0.0,-53.21,10.57,63.48
0.685340166091919,-0.03,-62.28,9.56,76.77
0.6940450668334961,-0.04,-66.78,2.56,82.81
0.7042081356048584,-0.03,-63.57,-5.35,77.41
0.7138462066650391,0.02,-56.86,-8.25,65.36
0.726254940032959,0.07,-48.75,-8.99,52.47
0.7332940101623535,0.15,-37.81,-10.4,39.32
0.7433481216430664,0.16,-25.22,-7.38,28.23
0.7540249824523926,0.1,-9.96,-4.2,26.03
0.7636270523071289,-0.13,9.37,-0.34,37.72
0.773198127746582,-0.21,31.57,5.52,57.88
0.783174991607666,-0.15,52.33,5.35,77.21
0.7937741279602051,-0.16,67.08,-1.51,89.89
0.8038921356201172,-0.19,73.42,-10.04,96.65
0.8133931159973145,-0.18,72.16,-10.44,95.79
0.8253059387207031,-0.06,60.68,-4.52,84.14
0.8328762054443359,0.1,38.95,3.95,62.21
0.8428759574890137,0.3,11.36,18.1,39.82
0.8534612655639648,0.2,-15.95,32.09,40.51
0.8627610206604004,0.07,-43.84,37.13,57.45
0.8726630210876465,-0.01,-70.88,35.88,84.02
0.8825280666351318,-0.08,-87.0,30.83,106.78
0.8924810886383057,-0.02,-89.75,17.39,110.24
0.9023990631103516,-0.02,-86.59,2.72,102.57
0.9124701023101807,-0.23,-80.66,-6.85,91.94
0.9238381385803223,-0.31,-69.94,-11.41,75.28
0.9322919845581055,-0.22,-57.26,-13.19,59.14
0.9423620700836182,-0.04,-44.07,-10.45,45.98
0.9521350860595703,0.61,-26.26,-5.64,34.39
0.9622881412506104,1.33,-0.19,-2.1,40.08
0.9723682403564453,1.59,30.29,3.79,65.31
0.9820010662078857,2.67,55.15,0.23,83.6
0.9928321838378906,4.23,67.83,-11.33,90.52
1.0029881000518799,6.14,73.6,-13.83,95.23
1.011970043182373,8.82,74.43,-13.48,96.94
1.0268380641937256,10.83,62.49,-10.22,82.71
1.0317871570587158,10.47,43.08,-1.6,59.54
1.0416760444641113,9.93,22.17,10.11,39.09
1.0528130531311035,8.6,-0.12,20.28,28.24
1.0617179870605469,8.69,-19.84,24.96,32.91
1.0750031471252441,7.56,-39.58,27.7,48.6
1.0814509391784668,5.36,-61.12,31.72,72.69
1.0921931266784668,5.29,-75.51,31.41,91.91
1.102997064590454,7.16,-80.49,19.11,96.58
1.1118412017822266,8.17,-78.77,4.4,91.36
1.1263210773468018,7.76,-69.84,-5.95,77.26
1.1313591003417969,6.23,-59.03,-11.91,62.63
1.1410911083221436,3.78,-48.25,-14.38,50.54
1.1517391204833984,1.48,-37.43,-11.75,39.69
1.1611530780792236,-0.63,-22.98,-6.46,28.41
1.1726422309875488,-3.22,-0.44,-0.85,28.49
1.1809451580047607,-6.79,27.18,4.88,51.95
1.1917009353637695,-12.32,51.1,3.15,73.94
1.2032921314239502,-20.31,65.94,-1.71,86.39
1.2115590572357178,-24.42,72.53,-1.8,92.06
1.2268619537353516,-20.77,68.87,-0.12,86.75
1.2307829856872559,-15.37,55.04,2.82,68.36
1.2406771183013916,-9.53,40.53,9.62,52.44
1.2525050640106201,-4.48,25.75,15.96,41.42
1.261125087738037,-1.89,8.85,17.54,28.04
1.2751450538635254,0.27,-7.99,19.91,24.36
1.2804241180419922,3.11,-25.35,21.0,33.34
1.2903411388397217,3.23,-46.12,20.06,50.7
1.3016610145568848,1.87,-67.71,17.6,75.27
1.3102951049804688,1.39,-81.52,11.29,95.05
1.3258881568908691,7.35,-84.54,-0.29,99.83
1.3300962448120117,20.44,-78.7,-10.56,91.29
1.3400750160217285,33.2,-66.13,-20.5,75.09
1.3509330749511719,41.54,-51.46,-24.83,58.42
1.3602771759033203,44.85,-38.97,-20.24,43.98
1.3724901676177979,42.93,-24.97,-9.97,31.17
1.3801841735839844,37.94,-4.35,2.13,29.36
1.3908100128173828,35.42,22.97,13.8,52.1
1.4019100666046143,31.92,49.31,15.67,76.03
1.410473108291626,23.99,67.92,7.12,91.16
1.4259071350097656,17.29,80.17,-1.1,102.21
1.4299111366271973,12.37,80.86,-4.88,102.35
1.4398140907287598,7.06,67.64,-2.36,87.46
1.4516639709472656,0.58,47.15,3.39,65.15
1.4597761631011963,-8.95,24.56,12.25,44.19
1.4753811359405518,-20.97,0.27,22.54,33.62
1.4808192253112793,-32.97,-23.24,28.14,39.18
1.4898982048034668,-43.86,-46.99,30.37,55.94
