time,ax,ay,az,atotal
0.01120615005493164,-0.1,0.01,-0.09,0.13
0.013885974884033203,-0.04,-0.07,-0.05,0.09
0.024268150329589844,0.02,-0.09,0.02,0.09
0.03412008285522461,-0.05,-0.08,-0.03,0.09
0.04416704177856445,-0.05,-0.03,-0.05,0.07
0.05418109893798828,-0.01,-0.02,-0.07,0.07
0.06407022476196289,-0.06,-0.02,-0.04,0.07
0.07387709617614746,-0.1,0.0,-0.06,0.11
0.08370208740234375,-0.11,0.02,-0.08,0.13
0.0939340591430664,-0.14,0.03,-0.1,0.17
0.10371613502502441,-0.37,0.01,-0.14,0.39
0.11370420455932617,-0.63,0.11,-0.27,0.69
0.12386012077331543,-0.83,0.44,-0.12,0.94
0.1337740421295166,-0.4,0.68,0.95,1.23
0.1436450481414795,0.35,0.48,1.26,1.39
0.15369701385498047,0.57,0.62,1.05,1.34
0.1636972427368164,0.57,1.9,1.59,2.54
0.17334318161010742,0.09,2.6,2.25,3.43
0.18356609344482422,1.66,3.96,3.01,5.24
0.19348406791687012,2.26,3.34,3.45,5.3
0.20350217819213867,2.14,1.92,1.83,3.4
0.21327495574951172,3.31,1.72,-1.08,3.88
0.22335195541381836,4.25,2.09,-4.12,6.27
0.23282623291015625,4.75,2.03,-5.01,7.19
0.2429211139678955,4.39,0.67,-2.04,4.88
0.25280308723449707,2.49,-2.19,5.47,6.39
0.2630620002746582,-0.84,-5.78,11.18,12.61
0.27294206619262695,-3.56,-7.48,11.98,14.56
0.2828941345214844,-4.87,-5.78,10.16,12.66
0.2924919128417969,-5.33,-1.89,10.22,11.68
0.3023109436035156,-3.61,-1.11,7.26,8.18
0.3123800754547119,-0.42,-1.23,4.95,5.11
0.32278919219970703,-0.49,0.08,5.13,5.15
0.3323190212249756,3.5,8.46,12.15,15.21
0.34219813346862793,10.9,15.99,10.36,21.95
0.35239410400390625,13.95,15.5,9.13,22.76
0.3621330261230469,17.45,12.61,25.05,33.03
0.3719360828399658,16.77,5.37,23.62,29.46
0.3825690746307373,15.13,-0.87,20.68,25.63
0.3923060894012451,10.72,-2.56,16.67,19.98
0.40189313888549805,11.27,-1.02,13.2,17.38
0.41220998764038086,11.08,-0.94,8.06,13.73
0.42255496978759766,6.71,-5.62,4.02,9.63
0.43165016174316406,-2.57,-13.67,-0.46,13.91
0.4415321350097656,-14.55,-22.24,-3.9,26.86
0.452023983001709,-28.96,-35.25,0.03,45.62
0.4613780975341797,-38.86,-47.65,8.82,62.11
0.47139501571655273,-43.35,-56.84,12.22,72.52
0.4809291362762451,-42.04,-59.18,7.46,72.97
0.492250919342041,-35.43,-52.4,1.54,63.27
0.5014572143554688,-25.49,-43.74,-6.04,50.98
0.5114612579345703,-16.25,-37.28,-10.79,42.07
0.5216350555419922,-10.46,-31.89,-12.9,35.95
0.5313351154327393,-6.33,-28.33,-14.31,32.36
0.5411372184753418,-0.74,-24.7,-14.95,28.88
0.5512042045593262,6.24,-18.47,-14.51,24.3
0.5610690116882324,14.53,-9.48,-17.19,24.42
0.5707850456237793,24.48,1.04,-19.66,31.41
0.5811491012573242,35.54,10.47,-15.82,40.28
0.5911469459533691,46.69,19.21,-12.88,52.1
0.6012392044067383,52.84,28.94,-17.61,62.76
0.6111969947814941,54.15,36.97,-21.87,69.11
0.6213679313659668,52.18,39.44,-17.8,67.78
0.6308579444885254,48.33,37.8,-10.44,62.23
0.6408820152282715,43.48,33.17,-5.3,54.94
0.6509299278259277,42.12,25.94,-2.19,49.51
0.6606860160827637,34.72,17.23,4.04,38.97
0.6702730655670166,27.25,7.2,9.19,29.64
0.6801180839538574,22.56,-0.56,12.04,25.57
0.6902341842651367,15.74,-9.02,12.96,22.29
0.6999571323394775,5.45,-20.21,16.92,26.91
0.7101559638977051,-11.45,-36.7,26.19,46.51
0.7203810214996338,-33.31,-55.48,39.64,75.88
0.7301301956176758,-49.03,-64.08,49.14,94.47
0.740537166595459,-53.64,-63.16,47.47,95.49
0.7501349449157715,-50.98,-59.2,37.0,86.44
0.7600002288818359,-42.4,-53.81,28.02,74.01
0.7698369026184082,-28.49,-48.44,22.1,60.38
0.7796261310577393,-14.86,-42.5,15.6,47.64
0.7896542549133301,-6.26,-36.75,6.14,37.78
0.7997159957885742,-0.35,-30.82,-4.6,31.16
0.8097140789031982,8.17,-21.35,-16.82,28.38
0.8199691772460938,24.21,-5.97,-26.21,36.17
0.8296699523925781,39.28,9.86,-31.63,51.38
0.839867115020752,50.75,23.44,-39.93,68.69
0.8501040935516357,60.26,37.88,-48.77,86.28
0.8594470024108887,64.15,47.09,-52.51,95.34
0.8689780235290527,64.2,47.2,-48.04,93.04
0.8795731067657471,62.03,41.3,-34.14,81.96
