time,ax,ay,az,atotal
0.0070569515228271484,0.18,0.05,-0.88,0.89
0.015763044357299805,0.47,0.16,-0.87,1.0
0.02569413185119629,0.31,0.0,0.37,0.48
0.035978078842163086,0.16,0.06,1.14,1.15
0.045439958572387695,0.15,0.11,1.3,1.31
0.056411027908325195,-0.01,0.01,1.08,1.08
0.06541705131530762,-0.27,-0.14,0.44,0.53
0.07568001747131348,-0.33,-0.24,-0.13,0.42
0.0861051082611084,-0.28,-0.22,-0.29,0.45
0.09568500518798828,-0.15,0.0,-0.08,0.17
0.10731816291809082,0.0,0.19,0.25,0.31
0.11518001556396484,-0.06,0.17,0.34,0.38
0.12508201599121094,0.02,0.24,0.51,0.56
0.13553404808044434,0.06,0.25,0.52,0.58
0.14495396614074707,-0.08,0.17,0.7,0.72
0.15595698356628418,-0.26,0.09,0.55,0.61
0.16505694389343262,-0.43,0.08,0.17,0.46
0.17476701736450195,-0.44,0.08,0.04,0.44
0.1855640411376953,-0.32,0.07,0.11,0.34
0.19478297233581543,-0.14,0.1,0.42,0.45
0.20602011680603027,-0.08,0.09,0.97,0.97
0.21457886695861816,-0.15,-0.15,1.48,1.49
0.22465014457702637,-0.32,-0.3,1.48,1.54
0.23552608489990234,-0.46,-0.14,1.33,1.41
0.24445509910583496,-0.49,0.1,1.17,1.27
0.2554140090942383,-0.4,0.24,0.91,1.02
0.26430702209472656,-0.21,0.34,0.67,0.78
0.2741880416870117,-0.12,0.39,0.57,0.7
0.2851998805999756,-0.13,0.4,0.62,0.74
0.2943270206451416,-0.14,0.35,0.7,0.79
0.3052389621734619,-0.16,0.27,0.58,0.65
0.31395792961120605,-0.16,0.16,0.3,0.37
0.32401204109191895,-0.08,0.11,0.47,0.48
0.3346540927886963,0.0,0.17,0.57,0.59
0.34379100799560547,0.0,0.16,0.4,0.43
0.35497498512268066,0.08,0.11,0.3,0.32
0.36355090141296387,0.2,0.14,0.37,0.44
0.37357592582702637,0.25,0.18,0.34,0.45
0.3846290111541748,0.37,0.13,0.24,0.45
0.39377403259277344,0.49,0.21,0.28,0.6
0.4052112102508545,0.43,0.31,0.29,0.6
0.41318607330322266,0.36,0.34,0.2,0.53
0.4232010841369629,0.36,0.29,0.2,0.5
0.43393397331237793,0.41,0.42,0.05,0.58
0.4431130886077881,0.39,0.5,-0.37,0.73
0.45507001876831055,0.28,0.49,-0.73,0.92
0.46292614936828613,0.1,0.34,-0.76,0.83
0.4728360176086426,-0.04,0.12,-0.65,0.66
0.4832189083099365,-0.06,-0.07,-0.69,0.69
0.49292707443237305,-0.05,-0.2,-0.74,0.76
0.5034430027008057,-0.13,-0.29,-0.63,0.7
0.5126080513000488,-0.2,-0.32,-0.58,0.69
0.5226280689239502,-0.23,-0.35,-0.59,0.72
0.5329759120941162,-0.21,-0.35,-0.65,0.76
0.5423009395599365,-0.14,-0.24,-0.64,0.69
0.5530660152435303,0.04,-0.12,-0.64,0.65
0.5624330043792725,0.16,-0.08,-0.48,0.51
0.5721890926361084,0.2,-0.08,-0.15,0.26
0.5826530456542969,0.19,-0.09,0.04,0.21
0.5922081470489502,0.19,-0.09,0.03,0.21
0.6027650833129883,0.21,-0.08,-0.1,0.24
0.6120090484619141,0.14,-0.06,-0.2,0.25
0.6219770908355713,0.07,-0.02,-0.24,0.25
0.6323249340057373,0.06,-0.04,-0.08,0.1
0.641848087310791,0.06,-0.19,0.11,0.22
0.6523749828338623,0.18,-0.23,0.22,0.36
0.6616919040679932,0.37,-0.14,0.22,0.45
0.6716790199279785,0.53,0.05,0.13,0.54
0.6821560859680176,0.67,0.19,0.03,0.69
0.6917068958282471,0.66,0.26,-0.01,0.7
0.7025070190429688,0.54,0.22,0.1,0.59
0.7114920616149902,0.52,0.12,0.14,0.55
0.7214760780334473,0.46,0.06,0.15,0.48
0.7319440841674805,0.31,0.05,0.12,0.33
0.7414019107818604,0.16,0.01,-0.04,0.16
0.7525920867919922,0.01,-0.01,-0.18,0.18
0.7613131999969482,-0.2,-0.15,-0.24,0.34
0.7712061405181885,-0.32,-0.28,-0.3,0.52
0.781451940536499,-0.3,-0.31,-0.32,0.53
0.7912130355834961,-0.3,-0.27,-0.21,0.45
0.8023130893707275,-0.31,-0.24,-0.12,0.41
0.8109970092773438,-0.36,-0.23,-0.16,0.45
0.8209779262542725,-0.34,-0.1,-0.2,0.4
0.8312451839447021,-0.33,-0.01,-0.22,0.39
0.8408138751983643,-0.32,-0.02,-0.36,0.48
0.8520691394805908,-0.29,0.01,-0.4,0.49
0.8606469631195068,-0.34,0.03,-0.33,0.47
0.8706550598144531,-0.42,0.0,-0.25,0.48
0.8809940814971924,-0.38,0.01,0.01,0.38
0.8907120227813721,-0.26,0.05,0.26,0.37
0.901634931564331,-0.1,0.1,0.29,0.32
0.9104468822479248,0.0,0.12,0.22,0.25
0.9204080104827881,0.07,0.15,0.19,0.25
