time,ax,ay,az,atotal
0.007630825042724609,-0.01,0.02,0.22,0.22
0.014117717742919922,0.1,-0.04,0.27,0.29
0.023993968963623047,-0.17,-0.12,-0.06,0.21
0.03395700454711914,-0.22,-0.18,0.25,0.37
0.044139862060546875,-0.13,-0.19,0.06,0.23
0.05592679977416992,0.05,-0.05,0.04,0.08
0.06369686126708984,0.02,0.21,0.09,0.22
0.07396292686462402,-0.05,0.19,0.0,0.19
0.08399772644042969,0.06,0.22,0.07,0.23
0.09388494491577148,-0.26,0.02,0.14,0.29
0.10577201843261719,-0.31,0.04,0.04,0.31
0.11357879638671875,0.02,0.04,0.27,0.27
0.1240389347076416,-0.1,-0.05,0.13,0.17
0.14023590087890625,0.04,0.08,-0.13,0.15
0.1436777114868164,0.05,-0.01,0.06,0.07
0.15460777282714844,-0.09,0.07,0.11,0.15
0.16292381286621094,-0.15,-0.01,0.03,0.15
0.17327499389648438,0.03,0.04,0.08,0.09
0.18296384811401367,0.08,-0.02,0.08,0.11
0.1929178237915039,0.02,0.01,0.04,0.04
0.20435094833374023,0.01,-0.03,0.06,0.06
0.2129349708557129,-0.01,-0.01,0.1,0.1
0.22277188301086426,-0.06,-0.02,0.11,0.12
0.23277902603149414,-0.08,0.05,0.07,0.11
0.2425527572631836,-0.03,0.01,0.11,0.11
0.2538137435913086,-0.11,-0.02,0.08,0.13
0.2623577117919922,-0.15,0.0,0.06,0.16
0.2725179195404053,-0.01,-0.04,0.03,0.05
0.28228187561035156,0.18,-0.07,0.12,0.22
0.29229092597961426,0.06,0.01,0.17,0.18
0.3033909797668457,-0.06,-0.02,0.13,0.14
0.312227725982666,0.12,0.26,0.11,0.3
0.3221158981323242,-0.11,0.03,-0.15,0.18
0.33205080032348633,-0.08,-0.09,0.24,0.26
0.34183287620544434,-0.15,0.18,0.11,0.25
0.353085994720459,0.03,-0.02,0.35,0.35
0.3617699146270752,0.4,-0.48,0.13,0.63
0.3718867301940918,0.52,-0.69,0.19,0.88
0.38170671463012695,0.79,-0.55,0.45,1.06
0.3915238380432129,0.68,-0.29,0.51,0.89
0.4028289318084717,0.26,-0.71,0.3,0.81
0.4116058349609375,0.19,-0.24,0.63,0.7
0.4214940071105957,0.24,-0.02,1.82,1.83
0.43140602111816406,0.8,0.23,1.36,1.59
0.441375732421875,0.76,0.47,0.64,1.09
0.45293593406677246,-0.69,-0.16,0.82,1.08
0.46125173568725586,-0.99,-0.35,1.33,1.69
0.4711790084838867,-0.63,-0.25,1.72,1.84
0.48108983039855957,0.0,0.09,2.3,2.3
0.49097394943237305,0.89,0.84,2.48,2.76
0.5028567314147949,1.39,1.07,1.46,2.28
0.5109288692474365,1.42,0.8,0.66,1.75
0.5209388732910156,0.89,0.41,-0.39,1.05
0.5309028625488281,0.4,0.18,-1.69,1.74
0.5406999588012695,-0.17,-0.23,-2.51,2.52
0.552527904510498,0.12,-0.66,-2.12,2.22
0.5606107711791992,0.59,-0.94,-1.76,2.08
0.570720911026001,0.27,-1.65,-1.51,2.25
0.5805878639221191,0.36,-2.08,-0.49,2.16
0.5904688835144043,0.06,-2.32,-0.38,2.35
0.6021988391876221,-0.23,-2.08,0.32,2.11
0.6103549003601074,-0.27,-1.04,-0.28,1.11
0.6201939582824707,1.19,-0.73,-0.81,1.61
0.6302657127380371,1.38,-0.56,-0.91,1.74
0.6401300430297852,1.0,0.0,-1.77,2.03
0.6519088745117188,0.98,0.74,-1.1,1.64
0.6599628925323486,1.1,1.08,-0.21,1.55
0.6701149940490723,0.49,1.18,-0.06,1.27
0.6798768043518066,0.15,1.36,0.23,1.38
0.6898348331451416,-0.1,1.49,0.93,1.75
0.7014589309692383,-0.51,1.19,0.29,1.32
0.7099719047546387,-0.06,0.3,0.46,0.55
0.7197468280792236,-0.62,-0.08,-1.01,1.18
0.7297308444976807,0.0,0.12,-1.14,1.14
0.7395648956298828,1.1,1.26,-0.84,1.87
0.7512948513031006,0.74,1.57,-1.03,2.01
0.7594218254089355,0.59,1.31,-0.02,1.43
0.7694969177246094,-0.24,0.15,-0.21,0.35
0.7794427871704102,-0.98,-1.52,0.05,1.8
0.7892439365386963,-0.87,-2.17,-0.16,2.34
0.8012259006500244,-0.74,-0.07,-1.93,2.06
0.8092989921569824,0.16,3.56,-1.82,4.0
0.8192100524902344,0.83,5.04,-0.23,5.11
0.829028844833374,0.23,3.63,0.22,3.64
0.8389708995819092,0.24,1.01,0.46,1.13
0.8505797386169434,0.56,0.05,-0.28,0.62
0.8588337898254395,1.33,0.42,-0.64,1.53
0.8687467575073242,1.85,0.76,-1.7,2.62
0.8788619041442871,1.34,1.16,-0.99,2.03
0.8886308670043945,-0.23,1.13,0.36,1.2
0.8998968601226807,-1.92,1.2,2.5,3.37
0.9087347984313965,-3.37,0.83,1.57,3.8
0.9184417724609375,-3.03,0.7,1.12,3.3
0.9287457466125488,-1.41,0.97,0.47,1.77
0.9383368492126465,0.21,1.01,-0.83,1.32
0.9497308731079102,2.02,1.79,-0.8,2.81
0.9582898616790771,3.42,1.88,-0.58,3.94
0.9683070182800293,3.5,1.02,-0.28,3.65
0.9782199859619141,2.29,0.12,-0.98,2.49
0.9883637428283691,0.57,-0.48,-0.44,0.86
0.9990658760070801,-1.15,-1.32,-0.13,1.75
1.008193016052246,-1.26,-1.67,0.73,2.21
1.0183229446411133,-0.8,-1.57,0.58,1.85
1.0279297828674316,-0.19,-1.69,0.08,1.7
1.038280963897705,0.12,-1.51,-0.52,1.6
1.0491490364074707,-0.99,-2.76,-1.7,3.38
1.0576167106628418,-0.34,-4.31,-1.06,4.45
1.0681447982788086,1.62,-3.39,-0.51,3.79
1.0778069496154785,2.69,-1.57,-0.93,3.25
1.0884778499603271,2.19,-0.6,-0.35,2.29
1.09881591796875,0.7,-0.29,-0.58,0.95
1.107637882232666,-0.77,-0.24,-0.11,0.81
